Value,Pixel count,Area (deg²)
0.000371269,981,0.000000000085857608427118400000
0.00038356,985,0.000000000086207690418666300000
0.000659934,725,0.000000000063452360968053800000
0.000724693,982,0.000000000085945128925005400000
0.003779,1007,0.000000000088133141372179600000
0.00386503,980,0.000000000085770087929231400000
0.00460271,954,0.000000000083494554984170200000
0.00709585,6,0.000000000000525122987321825000
0.00863009,949,0.000000000083056952494735300000
0.00893788,981,0.000000000085857608427118400000
0.00958899,952,0.000000000083319513988396200000
0.0113789,1,0.000000000000087520497886970800
0.0124375,299,0.000000000026168628868204200000
0.0127534,4,0.000000000000350081991547883000
0.0168766,920,0.000000000080518858056013200000
0.0181922,956,0.000000000083669595979944100000
0.0202692,38,0.000000000003325778919704890000
0.0232962,69,0.000000000006038914354200990000
0.0249314,7,0.000000000000612643485208796000
0.0256985,1007,0.000000000088133141372179600000
0.0295118,920,0.000000000080518858056013200000
0.0399363,962,0.000000000084194718967265900000
0.0412327,979,0.000000000085682567431344400000
0.0443667,712,0.000000000062314594495523200000
0.0466219,980,0.000000000085770087929231400000
0.0486362,918,0.000000000080343817060239200000
0.058601,6,0.000000000000525122987321825000
0.0593102,2,0.000000000000175040995773941000
0.0739889,1,0.000000000000087520497886970800
0.0745493,919,0.000000000080431337558126200000
0.0813146,977,0.000000000085507526435570500000
0.0864927,624,0.000000000054612790681469800000
0.0872482,922,0.000000000080693899051787100000
0.0889189,925,0.000000000080956460545448000000
0.0926316,927,0.000000000081131501541222000000
0.0948592,300,0.000000000026256149366091200000
0.0996744,1,0.000000000000087520497886970800
0.100007,920,0.000000000080518858056013200000
0.100428,955,0.000000000083582075482057200000
0.103445,338,0.000000000029581928285796100000
0.104765,321,0.000000000028094079821717600000
0.105383,7,0.000000000000612643485208796000
0.109934,918,0.000000000080343817060239200000
0.11168,1,0.000000000000087520497886970800
0.122302,952,0.000000000083319513988396200000
0.124273,622,0.000000000054437749685695800000
0.124728,914,0.000000000079993735068691400000
0.134627,330,0.000000000028881764302700300000
0.13828,921,0.000000000080606378553900100000
0.146932,951,0.000000000083231993490509300000
0.158532,920,0.000000000080518858056013200000
0.159412,109,0.000000000009539734269679820000
0.161316,895,0.000000000078330845608838900000
0.162657,5,0.000000000000437602489434854000
0.168778,356,0.000000000031157297247761600000
0.170227,921,0.000000000080606378553900100000
0.172454,918,0.000000000080343817060239200000
0.173604,1,0.000000000000087520497886970800
0.174973,1,0.000000000000087520497886970800
0.175982,920,0.000000000080518858056013200000
0.178049,101,0.000000000008839570286584050000
0.180465,980,0.000000000085770087929231400000
0.181735,920,0.000000000080518858056013200000
0.184617,933,0.000000000081656624528543800000
0.197841,1,0.000000000000087520497886970800
0.203564,1,0.000000000000087520497886970800
0.209616,7,0.000000000000612643485208796000
0.214538,1,0.000000000000087520497886970800
0.227599,1,0.000000000000087520497886970800
0.228702,860,0.000000000075267628182794900000
0.237095,7,0.000000000000612643485208796000
0.25302,783,0.000000000068528549845498200000
0.256285,2,0.000000000000175040995773941000
0.260527,7,0.000000000000612643485208796000
0.264245,953,0.000000000083407034486283200000
0.269651,1,0.000000000000087520497886970800
0.272082,1,0.000000000000087520497886970800
0.274368,918,0.000000000080343817060239200000
0.285378,954,0.000000000083494554984170200000
0.285691,920,0.000000000080518858056013200000
0.291441,1,0.000000000000087520497886970800
0.294788,866,0.000000000075792751170116700000
0.295156,919,0.000000000080431337558126200000
0.295345,1,0.000000000000087520497886970800
0.296399,6,0.000000000000525122987321825000
0.30119,5,0.000000000000437602489434854000
0.304017,5,0.000000000000437602489434854000
0.310908,919,0.000000000080431337558126200000
0.319832,920,0.000000000080518858056013200000
0.322574,920,0.000000000080518858056013200000
0.329359,5,0.000000000000437602489434854000
0.331397,1,0.000000000000087520497886970800
0.340475,1,0.000000000000087520497886970800
0.341186,924,0.000000000080868940047561100000
0.342343,925,0.000000000080956460545448000000
0.345201,1,0.000000000000087520497886970800
0.346035,1,0.000000000000087520497886970800
0.35037,1,0.000000000000087520497886970800
0.351064,1,0.000000000000087520497886970800
0.354962,7,0.000000000000612643485208796000
0.356857,1,0.000000000000087520497886970800
0.364957,1,0.000000000000087520497886970800
0.368738,921,0.000000000080606378553900100000
0.372174,1,0.000000000000087520497886970800
0.379724,1,0.000000000000087520497886970800
0.382036,7,0.000000000000612643485208796000
0.38702,921,0.000000000080606378553900100000
0.387347,26,0.000000000002275532945061240000
0.38972,921,0.000000000080606378553900100000
0.390943,6,0.000000000000525122987321825000
0.394473,952,0.000000000083319513988396200000
0.395958,920,0.000000000080518858056013200000
0.396601,919,0.000000000080431337558126200000
0.398929,923,0.000000000080781419549674100000
0.402807,968,0.000000000084719841954587800000
0.403654,7,0.000000000000612643485208796000
0.404787,3,0.000000000000262561493660912000
0.414155,920,0.000000000080518858056013200000
0.414707,954,0.000000000083494554984170200000
0.418699,5,0.000000000000437602489434854000
0.41972,177,0.000000000015491128125993800000
0.427569,921,0.000000000080606378553900100000
0.428073,919,0.000000000080431337558126200000
0.433147,1,0.000000000000087520497886970800
0.43697,7,0.000000000000612643485208796000
0.446637,277,0.000000000024243177914690900000
0.44905,237,0.000000000020742357999212100000
0.449415,918,0.000000000080343817060239200000
0.449978,214,0.000000000018729386547811700000
0.453013,954,0.000000000083494554984170200000
0.453537,1,0.000000000000087520497886970800
0.459214,954,0.000000000083494554984170200000
0.45926,3,0.000000000000262561493660912000
0.462044,878,0.000000000076842997144760400000
0.463109,5,0.000000000000437602489434854000
0.478865,7,0.000000000000612643485208796000
0.495956,5,0.000000000000437602489434854000
0.503365,921,0.000000000080606378553900100000
0.507541,7,0.000000000000612643485208796000
0.511449,885,0.000000000077455640629969200000
0.513465,332,0.000000000029056805298474300000
0.515383,1,0.000000000000087520497886970800
0.516751,7,0.000000000000612643485208796000
0.517189,919,0.000000000080431337558126200000
0.523906,5,0.000000000000437602489434854000
0.526023,1,0.000000000000087520497886970800
0.53537,835,0.000000000073079615735620600000
0.536203,924,0.000000000080868940047561100000
0.540101,1,0.000000000000087520497886970800
0.541156,953,0.000000000083407034486283200000
0.542968,955,0.000000000083582075482057200000
0.548086,1,0.000000000000087520497886970800
0.553968,882,0.000000000077193079136308300000
0.555604,1,0.000000000000087520497886970800
0.561148,954,0.000000000083494554984170200000
0.567007,1,0.000000000000087520497886970800
0.568203,951,0.000000000083231993490509300000
0.572753,955,0.000000000083582075482057200000
0.579737,193,0.000000000016891456092185300000
0.579932,5,0.000000000000437602489434854000
0.583699,723,0.000000000063277319972279900000
0.583902,922,0.000000000080693899051787100000
0.584235,5,0.000000000000437602489434854000
0.592074,922,0.000000000080693899051787100000
0.592272,947,0.000000000082881911498961400000
0.592488,3,0.000000000000262561493660912000
0.600899,917,0.000000000080256296562352300000
0.601695,1,0.000000000000087520497886970800
0.609071,1,0.000000000000087520497886970800
0.610109,922,0.000000000080693899051787100000
0.61123,1,0.000000000000087520497886970800
0.617204,952,0.000000000083319513988396200000
0.618708,954,0.000000000083494554984170200000
0.623589,3,0.000000000000262561493660912000
0.624958,925,0.000000000080956460545448000000
0.62508,64,0.000000000005601311864766130000
0.625783,920,0.000000000080518858056013200000
0.637151,7,0.000000000000612643485208796000
0.63784,920,0.000000000080518858056013200000
0.646194,210,0.000000000018379304556263800000
0.646565,952,0.000000000083319513988396200000
0.647082,1,0.000000000000087520497886970800
0.647493,271,0.000000000023718054927369100000
0.648773,917,0.000000000080256296562352300000
0.649535,1,0.000000000000087520497886970800
0.65185,920,0.000000000080518858056013200000
0.6549,1,0.000000000000087520497886970800
0.656453,84,0.000000000007351721822505550000
0.660116,1,0.000000000000087520497886970800
0.662574,858,0.000000000075092587187021000000
0.668678,917,0.000000000080256296562352300000
0.690399,925,0.000000000080956460545448000000
0.69121,3,0.000000000000262561493660912000
0.694087,8,0.000000000000700163983095767000
0.694974,921,0.000000000080606378553900100000
0.696872,7,0.000000000000612643485208796000
0.697282,1,0.000000000000087520497886970800
0.700572,921,0.000000000080606378553900100000
0.703369,7,0.000000000000612643485208796000
0.704215,952,0.000000000083319513988396200000
0.709768,7,0.000000000000612643485208796000
0.71395,919,0.000000000080431337558126200000
0.720868,7,0.000000000000612643485208796000
0.721097,6,0.000000000000525122987321825000
0.722566,1,0.000000000000087520497886970800
0.725274,953,0.000000000083407034486283200000
0.727521,919,0.000000000080431337558126200000
0.736243,922,0.000000000080693899051787100000
0.742756,920,0.000000000080518858056013200000
0.745644,1,0.000000000000087520497886970800
0.748293,920,0.000000000080518858056013200000
0.754604,920,0.000000000080518858056013200000
0.757467,921,0.000000000080606378553900100000
0.758264,917,0.000000000080256296562352300000
0.759976,954,0.000000000083494554984170200000
0.766671,1,0.000000000000087520497886970800
0.770955,1,0.000000000000087520497886970800
0.770957,7,0.000000000000612643485208796000
0.774838,4,0.000000000000350081991547883000
0.776204,954,0.000000000083494554984170200000
0.780534,920,0.000000000080518858056013200000
0.780537,919,0.000000000080431337558126200000
0.782821,7,0.000000000000612643485208796000
0.783507,917,0.000000000080256296562352300000
0.784306,925,0.000000000080956460545448000000
0.784677,950,0.000000000083144472992622300000
0.785033,6,0.000000000000525122987321825000
0.785359,1,0.000000000000087520497886970800
0.788761,922,0.000000000080693899051787100000
0.79837,921,0.000000000080606378553900100000
0.798382,920,0.000000000080518858056013200000
0.803208,7,0.000000000000612643485208796000
0.805532,5,0.000000000000437602489434854000
0.827379,5,0.000000000000437602489434854000
0.830982,1,0.000000000000087520497886970800
0.840179,4,0.000000000000350081991547883000
0.841911,921,0.000000000080606378553900100000
0.848253,5,0.000000000000437602489434854000
0.855841,1,0.000000000000087520497886970800
0.857446,952,0.000000000083319513988396200000
0.858038,1,0.000000000000087520497886970800
0.858502,5,0.000000000000437602489434854000
0.859426,1,0.000000000000087520497886970800
0.861874,924,0.000000000080868940047561100000
0.86488,1,0.000000000000087520497886970800
0.86539,918,0.000000000080343817060239200000
0.873557,924,0.000000000080868940047561100000
0.881393,923,0.000000000080781419549674100000
0.884312,921,0.000000000080606378553900100000
0.893273,815,0.000000000071329205777881200000
0.898136,950,0.000000000083144472992622300000
0.899255,1,0.000000000000087520497886970800
0.902496,1,0.000000000000087520497886970800
0.906915,923,0.000000000080781419549674100000
0.907691,1,0.000000000000087520497886970800
0.912378,5,0.000000000000437602489434854000
0.916132,920,0.000000000080518858056013200000
0.917703,1,0.000000000000087520497886970800
0.923346,918,0.000000000080343817060239200000
0.926164,923,0.000000000080781419549674100000
0.928527,951,0.000000000083231993490509300000
0.934797,920,0.000000000080518858056013200000
0.941494,2,0.000000000000175040995773941000
0.942056,920,0.000000000080518858056013200000
0.942466,921,0.000000000080606378553900100000
0.952119,920,0.000000000080518858056013200000
0.961958,919,0.000000000080431337558126200000
0.9624,919,0.000000000080431337558126200000
0.962514,1,0.000000000000087520497886970800
0.965305,1,0.000000000000087520497886970800
0.971748,917,0.000000000080256296562352300000
0.980762,920,0.000000000080518858056013200000
0.991288,918,0.000000000080343817060239200000
0.991912,7,0.000000000000612643485208796000
0.992845,7,0.000000000000612643485208796000
0.994351,3,0.000000000000262561493660912000
0.99817,1,0.000000000000087520497886970800
1.00224,921,0.000000000080606378553900100000
1.00538,921,0.000000000080606378553900100000
1.00919,7,0.000000000000612643485208796000
1.01078,923,0.000000000080781419549674100000
1.02187,1,0.000000000000087520497886970800
1.02438,923,0.000000000080781419549674100000
1.0289,920,0.000000000080518858056013200000
1.03504,922,0.000000000080693899051787100000
1.04186,1,0.000000000000087520497886970800
1.04252,926,0.000000000081043981043335000000
1.04403,921,0.000000000080606378553900100000
1.04897,1,0.000000000000087520497886970800
1.05227,919,0.000000000080431337558126200000
1.05548,7,0.000000000000612643485208796000
1.06846,921,0.000000000080606378553900100000
1.09673,924,0.000000000080868940047561100000
1.10176,1,0.000000000000087520497886970800
1.10242,7,0.000000000000612643485208796000
1.1077,922,0.000000000080693899051787100000
1.10805,920,0.000000000080518858056013200000
1.1089,923,0.000000000080781419549674100000
1.11474,4,0.000000000000350081991547883000
1.11622,921,0.000000000080606378553900100000
1.1203,920,0.000000000080518858056013200000
1.12191,690,0.000000000060389143542009900000
1.12714,5,0.000000000000437602489434854000
1.12886,8,0.000000000000700163983095767000
1.13089,919,0.000000000080431337558126200000
1.13515,796,0.000000000069666316318028800000
1.13664,921,0.000000000080606378553900100000
1.13732,1,0.000000000000087520497886970800
1.14454,62,0.000000000005426270868992190000
1.15066,7,0.000000000000612643485208796000
1.15075,921,0.000000000080606378553900100000
1.15093,918,0.000000000080343817060239200000
1.15164,1,0.000000000000087520497886970800
1.18117,667,0.000000000058376172090609500000
1.18305,917,0.000000000080256296562352300000
1.19786,1618,0.000000000141608165581118000000
1.19883,919,0.000000000080431337558126200000
1.20229,1,0.000000000000087520497886970800
1.21214,874,0.000000000076492915153212500000
1.22333,817,0.000000000071504246773655200000
1.22389,956,0.000000000083669595979944100000
1.22667,925,0.000000000080956460545448000000
1.23441,919,0.000000000080431337558126200000
1.23737,1,0.000000000000087520497886970800
1.23818,919,0.000000000080431337558126200000
1.23837,921,0.000000000080606378553900100000
1.24085,920,0.000000000080518858056013200000
1.24088,5,0.000000000000437602489434854000
1.24338,5,0.000000000000437602489434854000
1.24524,1,0.000000000000087520497886970800
1.24571,3,0.000000000000262561493660912000
1.25098,646,0.000000000056538241634983100000
1.25107,918,0.000000000080343817060239200000
1.25331,6,0.000000000000525122987321825000
1.25501,1,0.000000000000087520497886970800
1.25842,921,0.000000000080606378553900100000
1.26052,1,0.000000000000087520497886970800
1.26278,922,0.000000000080693899051787100000
1.26575,921,0.000000000080606378553900100000
1.26825,917,0.000000000080256296562352300000
1.2683,920,0.000000000080518858056013200000
1.2692,85,0.000000000007439242320392520000
1.27605,922,0.000000000080693899051787100000
1.27658,1,0.000000000000087520497886970800
1.28088,920,0.000000000080518858056013200000
1.28434,921,0.000000000080606378553900100000
1.28517,1,0.000000000000087520497886970800
1.28895,7,0.000000000000612643485208796000
1.28919,2,0.000000000000175040995773941000
1.29492,1,0.000000000000087520497886970800
1.29644,918,0.000000000080343817060239200000
1.29653,1,0.000000000000087520497886970800
1.29974,921,0.000000000080606378553900100000
1.30481,1,0.000000000000087520497886970800
1.30832,7,0.000000000000612643485208796000
1.31058,920,0.000000000080518858056013200000
1.31475,925,0.000000000080956460545448000000
1.3159,921,0.000000000080606378553900100000
1.31618,919,0.000000000080431337558126200000
1.31708,5,0.000000000000437602489434854000
1.32159,1,0.000000000000087520497886970800
1.32323,1,0.000000000000087520497886970800
1.32712,922,0.000000000080693899051787100000
1.33183,6,0.000000000000525122987321825000
1.3321,921,0.000000000080606378553900100000
1.33267,5,0.000000000000437602489434854000
1.33888,922,0.000000000080693899051787100000
1.33917,920,0.000000000080518858056013200000
1.33985,4,0.000000000000350081991547883000
1.34136,924,0.000000000080868940047561100000
1.34255,1,0.000000000000087520497886970800
1.34738,922,0.000000000080693899051787100000
1.34768,922,0.000000000080693899051787100000
1.35179,1,0.000000000000087520497886970800
1.35798,1846,0.000000000161562839099348000000
1.36021,1,0.000000000000087520497886970800
1.36237,920,0.000000000080518858056013200000
1.36397,6,0.000000000000525122987321825000
1.3692,3,0.000000000000262561493660912000
1.36968,5,0.000000000000437602489434854000
1.3724,1,0.000000000000087520497886970800
1.37415,920,0.000000000080518858056013200000
1.37827,1,0.000000000000087520497886970800
1.38019,1,0.000000000000087520497886970800
1.38139,920,0.000000000080518858056013200000
1.38183,7,0.000000000000612643485208796000
1.38246,1,0.000000000000087520497886970800
1.38842,7,0.000000000000612643485208796000
1.39103,1,0.000000000000087520497886970800
1.39147,919,0.000000000080431337558126200000
1.39442,1,0.000000000000087520497886970800
1.3984,921,0.000000000080606378553900100000
1.39912,1,0.000000000000087520497886970800
1.4001,917,0.000000000080256296562352300000
1.40012,731,0.000000000063977483955375700000
1.40681,923,0.000000000080781419549674100000
1.4083,1,0.000000000000087520497886970800
1.40841,1,0.000000000000087520497886970800
1.4116,3,0.000000000000262561493660912000
1.41815,5,0.000000000000437602489434854000
1.41886,921,0.000000000080606378553900100000
1.42437,920,0.000000000080518858056013200000
1.42471,6,0.000000000000525122987321825000
1.4395,900,0.000000000078768448098273800000
1.44087,7,0.000000000000612643485208796000
1.44905,923,0.000000000080781419549674100000
1.46347,944,0.000000000082619350005300500000
1.46349,7,0.000000000000612643485208796000
1.46614,920,0.000000000080518858056013200000
1.47542,1,0.000000000000087520497886970800
1.47969,957,0.000000000083757116477831100000
1.4823,921,0.000000000080606378553900100000
1.48483,5,0.000000000000437602489434854000
1.48713,917,0.000000000080256296562352300000
1.49055,6,0.000000000000525122987321825000
1.49541,6,0.000000000000525122987321825000
1.49547,7,0.000000000000612643485208796000
1.50327,921,0.000000000080606378553900100000
1.50627,7,0.000000000000612643485208796000
1.5183,2,0.000000000000175040995773941000
1.51917,925,0.000000000080956460545448000000
1.52123,1,0.000000000000087520497886970800
1.5228,925,0.000000000080956460545448000000
1.53139,5,0.000000000000437602489434854000
1.53713,6,0.000000000000525122987321825000
1.53974,1,0.000000000000087520497886970800
1.53984,1,0.000000000000087520497886970800
1.54448,923,0.000000000080781419549674100000
1.54652,169,0.000000000014790964142898000000
1.5469,923,0.000000000080781419549674100000
1.54712,1,0.000000000000087520497886970800
1.54912,919,0.000000000080431337558126200000
1.55213,7,0.000000000000612643485208796000
1.55563,917,0.000000000080256296562352300000
1.55701,1,0.000000000000087520497886970800
1.55779,693,0.000000000060651705035670800000
1.56041,917,0.000000000080256296562352300000
1.56442,7,0.000000000000612643485208796000
1.57191,1,0.000000000000087520497886970800
1.57848,921,0.000000000080606378553900100000
1.58065,952,0.000000000083319513988396200000
1.58161,1,0.000000000000087520497886970800
1.58393,7,0.000000000000612643485208796000
1.58566,5,0.000000000000437602489434854000
1.58593,1,0.000000000000087520497886970800
1.592,921,0.000000000080606378553900100000
1.59302,5,0.000000000000437602489434854000
1.60851,1,0.000000000000087520497886970800
1.60951,2,0.000000000000175040995773941000
1.61112,3,0.000000000000262561493660912000
1.61145,1,0.000000000000087520497886970800
1.61268,924,0.000000000080868940047561100000
1.62022,923,0.000000000080781419549674100000
1.62857,921,0.000000000080606378553900100000
1.6286,7,0.000000000000612643485208796000
1.63182,921,0.000000000080606378553900100000
1.63692,921,0.000000000080606378553900100000
1.64215,1,0.000000000000087520497886970800
1.65066,925,0.000000000080956460545448000000
1.65387,5,0.000000000000437602489434854000
1.6594,921,0.000000000080606378553900100000
1.65973,1,0.000000000000087520497886970800
1.66129,5,0.000000000000437602489434854000
1.66347,921,0.000000000080606378553900100000
1.6674,1,0.000000000000087520497886970800
1.67052,1,0.000000000000087520497886970800
1.67213,925,0.000000000080956460545448000000
1.67228,1,0.000000000000087520497886970800
1.67301,1,0.000000000000087520497886970800
1.6759,921,0.000000000080606378553900100000
1.68491,6,0.000000000000525122987321825000
1.68593,953,0.000000000083407034486283200000
1.68771,1,0.000000000000087520497886970800
1.69094,920,0.000000000080518858056013200000
1.69311,1,0.000000000000087520497886970800
1.69422,926,0.000000000081043981043335000000
1.70136,919,0.000000000080431337558126200000
1.70642,921,0.000000000080606378553900100000
1.71227,1,0.000000000000087520497886970800
1.71533,922,0.000000000080693899051787100000
1.71941,1,0.000000000000087520497886970800
1.7212,1,0.000000000000087520497886970800
1.72631,2,0.000000000000175040995773941000
1.72835,920,0.000000000080518858056013200000
1.73086,918,0.000000000080343817060239200000
1.73196,925,0.000000000080956460545448000000
1.73686,1,0.000000000000087520497886970800
1.7381,1,0.000000000000087520497886970800
1.74259,1,0.000000000000087520497886970800
1.7428,1,0.000000000000087520497886970800
1.74329,917,0.000000000080256296562352300000
1.75035,1,0.000000000000087520497886970800
1.75237,1,0.000000000000087520497886970800
1.75295,774,0.000000000067740865364515400000
