Value,Pixel count,Area (deg2)
0.000167379,383,0.000000000033607589150755400000
0.000444701,1,0.000000000000087748274545053400
0.000483481,1,0.000000000000087748274545053400
0.000493321,1,0.000000000000087748274545053400
0.000497063,1,0.000000000000087748274545053400
0.000498854,1,0.000000000000087748274545053400
0.000836894,333,0.000000000029220175423502800000
0.000975555,1,0.000000000000087748274545053400
0.000994945,1,0.000000000000087748274545053400
0.000999865,1,0.000000000000087748274545053400
0.00100174,1,0.000000000000087748274545053400
0.00100263,1,0.000000000000087748274545053400
0.00117165,299,0.000000000026236734088970900000
0.00186496,1,0.000000000000087748274545053400
0.00196191,1,0.000000000000087748274545053400
0.00198651,1,0.000000000000087748274545053400
0.00199586,1,0.000000000000087748274545053400
0.00200034,1,0.000000000000087748274545053400
0.00284544,266,0.000000000023341041028984200000
0.00325473,645,0.000000000056597637081559400000
0.0035429,1,0.000000000000087748274545053400
0.00357296,1,0.000000000000087748274545053400
0.00361003,1,0.000000000000087748274545053400
0.0058665,1,0.000000000000087748274545053400
0.00586861,1,0.000000000000087748274545053400
0.00587167,1,0.000000000000087748274545053400
0.00587635,1,0.000000000000087748274545053400
0.00588404,1,0.000000000000087748274545053400
0.00589797,1,0.000000000000087748274545053400
0.00592708,1,0.000000000000087748274545053400
0.00600362,1,0.000000000000087748274545053400
0.00647182,1,0.000000000000087748274545053400
0.0074943,801,0.000000000070286367910587800000
0.0084623,511,0.000000000044839368292522300000
0.0117296,1,0.000000000000087748274545053400
0.0117335,1,0.000000000000087748274545053400
0.0117393,1,0.000000000000087748274545053400
0.0117489,1,0.000000000000087748274545053400
0.0117664,1,0.000000000000087748274545053400
0.0118027,1,0.000000000000087748274545053400
0.0118984,1,0.000000000000087748274545053400
0.0122755,1,0.000000000000087748274545053400
0.0149718,479,0.000000000042031423507080600000
0.0203722,165,0.000000000014478465299933800000
0.0264447,1150,0.000000000100910515726811000000
0.0308114,379,0.000000000033256596052575200000
0.0334579,1236,0.000000000108456867337686000000
0.036019,1753,0.000000000153822725277478000000
0.0520605,1,0.000000000000087748274545053400
0.0520755,1,0.000000000000087748274545053400
0.0520973,1,0.000000000000087748274545053400
0.0521306,1,0.000000000000087748274545053400
0.0521854,1,0.000000000000087748274545053400
0.0522847,1,0.000000000000087748274545053400
0.052492,1,0.000000000000087748274545053400
0.0530371,1,0.000000000000087748274545053400
0.0537443,1,0.000000000000087748274545053400
0.0537896,1,0.000000000000087748274545053400
0.0538591,1,0.000000000000087748274545053400
0.0539733,1,0.000000000000087748274545053400
0.0541799,1,0.000000000000087748274545053400
0.0546117,1,0.000000000000087748274545053400
0.0551855,1,0.000000000000087748274545053400
0.0557469,1,0.000000000000087748274545053400
0.0602212,1,0.000000000000087748274545053400
0.0611852,1,0.000000000000087748274545053400
0.0653356,1,0.000000000000087748274545053400
0.0653822,1,0.000000000000087748274545053400
0.06545,1,0.000000000000087748274545053400
0.0655537,1,0.000000000000087748274545053400
0.0657241,1,0.000000000000087748274545053400
0.0660326,1,0.000000000000087748274545053400
0.0666773,1,0.000000000000087748274545053400
0.0668924,1,0.000000000000087748274545053400
0.0683405,1,0.000000000000087748274545053400
0.0683723,1,0.000000000000087748274545053400
0.0687993,1,0.000000000000087748274545053400
0.0705493,1010,0.000000000088625757290503900000
0.0709531,443,0.000000000038872485623458600000
0.0743443,1,0.000000000000087748274545053400
0.0747221,1,0.000000000000087748274545053400
0.0750524,1,0.000000000000087748274545053400
0.0762249,1,0.000000000000087748274545053400
0.0767964,1,0.000000000000087748274545053400
0.07707,1,0.000000000000087748274545053400
0.0772211,1,0.000000000000087748274545053400
0.077313,1,0.000000000000087748274545053400
0.0773731,1,0.000000000000087748274545053400
0.0774144,1,0.000000000000087748274545053400
0.0789127,1,0.000000000000087748274545053400
0.0797611,1,0.000000000000087748274545053400
0.0800617,1,0.000000000000087748274545053400
0.0809927,1,0.000000000000087748274545053400
0.0813053,1,0.000000000000087748274545053400
0.0814241,1,0.000000000000087748274545053400
0.081481,1,0.000000000000087748274545053400
0.0815124,1,0.000000000000087748274545053400
0.0815125,1,0.000000000000087748274545053400
0.0815315,1,0.000000000000087748274545053400
0.0820642,1,0.000000000000087748274545053400
0.0823282,1,0.000000000000087748274545053400
0.0824741,1,0.000000000000087748274545053400
0.0825629,1,0.000000000000087748274545053400
0.0826209,1,0.000000000000087748274545053400
0.0826607,1,0.000000000000087748274545053400
0.0828121,3,0.000000000000263244823635160000
0.0843934,1505,0.000000000132061153190305000000
0.086437,1,0.000000000000087748274545053400
0.0916967,1,0.000000000000087748274545053400
0.0922174,446,0.000000000039135730447093800000
0.0976487,1239,0.000000000108720112161321000000
0.0981816,1,0.000000000000087748274545053400
0.106376,1,0.000000000000087748274545053400
0.111723,2,0.000000000000175496549090106000
0.117059,1,0.000000000000087748274545053400
0.118903,131,0.000000000011495023965402000000
0.122823,743,0.000000000065196967986974700000
0.123022,1,0.000000000000087748274545053400
0.124745,1,0.000000000000087748274545053400
0.125562,1,0.000000000000087748274545053400
0.125746,1,0.000000000000087748274545053400
0.12577,1,0.000000000000087748274545053400
0.128698,1136,0.000000000099682039883180700000
0.131568,1,0.000000000000087748274545053400
0.131674,1,0.000000000000087748274545053400
0.132166,1236,0.000000000108456867337686000000
0.133007,1,0.000000000000087748274545053400
0.133372,1,0.000000000000087748274545053400
0.134158,1,0.000000000000087748274545053400
0.136051,1,0.000000000000087748274545053400
0.136812,1,0.000000000000087748274545053400
0.142237,1,0.000000000000087748274545053400
0.142832,1,0.000000000000087748274545053400
0.144018,1,0.000000000000087748274545053400
0.145676,1,0.000000000000087748274545053400
0.146096,1,0.000000000000087748274545053400
0.146256,1,0.000000000000087748274545053400
0.146333,1,0.000000000000087748274545053400
0.146375,1,0.000000000000087748274545053400
