Value,Pixel count,Area (deg²)
0.00242361,972,0.000000000084107704136619200000
0.00646296,959,0.000000000082982806859071800000
0.0242361,960,0.000000000083069337418883100000
0.0288293,958,0.000000000082896276299260400000
0.0501362,90,0.000000000007787750383020290000
0.0837682,957,0.000000000082809745739449100000
0.0947334,852,0.000000000073724036959258800000
0.0977015,959,0.000000000082982806859071800000
0.111553,926,0.000000000080127298385297700000
0.112326,969,0.000000000083848112457185100000
0.119221,950,0.000000000082204031820769800000
0.137891,252,0.000000000021805701072456800000
0.143532,973,0.000000000084194234696430500000
0.188725,968,0.000000000083761581897373800000
0.197657,967,0.000000000083675051337562500000
0.210738,844,0.000000000073031792480768100000
0.22203,961,0.000000000083155867978694500000
0.224588,950,0.000000000082204031820769800000
0.2445,639,0.000000000055293027719444100000
0.272675,971,0.000000000084021173576807800000
0.273768,280,0.000000000024228556747174200000
0.282584,968,0.000000000083761581897373800000
0.286933,971,0.000000000084021173576807800000
0.315717,964,0.000000000083415459658128500000
0.320172,169,0.000000000014623664608115800000
0.347861,965,0.000000000083501990217939800000
0.369376,1,0.000000000000086530559811336600
0.373828,843,0.000000000072945261920956700000
0.454562,973,0.000000000084194234696430500000
0.478259,84,0.000000000007268567024152270000
0.47985,961,0.000000000083155867978694500000
0.51933,933,0.000000000080733012303977000000
0.525501,935,0.000000000080906073423599700000
0.533558,967,0.000000000083675051337562500000
0.552853,10,0.000000000000865305598113366000
0.590875,939,0.000000000081252195662845000000
0.615328,70,0.000000000006057139186793560000
0.636173,242,0.000000000020940395474343400000
0.640872,852,0.000000000073724036959258800000
0.64637,1,0.000000000000086530559811336600
0.664877,926,0.000000000080127298385297700000
0.666399,820,0.000000000070955059045296000000
0.674117,11,0.000000000000951836157924703000
0.715499,1,0.000000000000086530559811336600
0.716313,933,0.000000000080733012303977000000
0.719917,1,0.000000000000086530559811336600
0.722002,939,0.000000000081252195662845000000
0.722744,959,0.000000000082982806859071800000
0.722891,926,0.000000000080127298385297700000
